Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.544167   332.975474   2387.774029   2823.955419   3680.051264
0.550417   386.256746   2555.775307   2800.521218   3633.756669
0.556667   399.911094   2760.511384   2886.422364   3932.293210
0.562917   442.236186   2596.295554   3327.280446   4200.999422
0.569167   411.370762   2225.140787   3156.887529   3925.162295
0.575417   381.066976   2207.154827   2957.206881   3721.994963
0.581667   401.817907   2162.090288   2959.966280   3644.508895
0.587917   407.608700   2143.570195   3031.593002   3678.890446
0.594167   370.088215   2201.278926   3009.411044   3760.652132
0.600417   359.783344   2128.772364   3006.048349   3860.751924
0.606667   268.205630   2030.875414   2967.379008   3878.646758
0.612917   256.508411   1848.717598   2860.038595   3174.010592
0.619167   281.299160   2245.125647   3134.937364   4335.454590
0.625417   312.908663   2117.267289   3116.974379   3316.475866
0.631667   321.780166   2066.094570   3044.867958   3092.645428
0.637917   321.478337   2067.370903   2977.411949   3129.849216
0.644167   320.756333   2054.421392   2918.223474   3152.840556
0.650417   310.193386   2059.021055   2956.734975   3126.693638
0.656667   308.293639   2058.000669   2908.728582   3193.824907
0.662917   316.629758   2052.112113   2831.432611   3172.303951
0.669167   320.717060   2058.913315   2803.595077   3150.405169
0.675417   315.643393   2078.991300   2684.436901   3126.398101
0.681667   313.700210   2056.780558   2480.854116   3084.776188
0.687917   317.535951   1956.295257   2198.728355   3092.451665
0.694167   317.568010   1677.663878   2122.292160   3094.365393
0.700417   316.628715   1532.719679   2132.320703   3102.729818
0.706667   315.617753   1363.592603   2207.549049   3146.349407
0.712917   315.743390   1296.161437   2322.767763   3144.534371
0.719167   316.769789   1252.529083   2295.766217   3113.681886
0.725417   315.236102   1243.245247   2284.941279   3303.508299
0.731667   332.336045   1223.172837   2371.270242   3228.814842
0.737917   336.189195   1097.700589   2303.178293   3181.765659
0.744167   341.443903   1029.599112   2286.781701   3126.534321
0.750417   340.455177   1017.754251   2312.905864   3171.800871
0.756667   343.371202   1030.068839   2323.191281   3149.331748
0.762917   360.024247   1065.683129   2382.363390   3141.832003
0.769167   386.071234   1114.320775   2401.734446   3142.776682
0.775417   420.907642   1172.372221   2352.838908   3150.384330
0.781667   442.901555   1236.370151   2335.271367   3160.684243
0.787917   468.746566   1318.548508   2351.512167   3168.018698
0.794167   485.776531   1388.642272   2343.639851   3160.113190
0.800417   507.244812   1440.992785   2325.010900   3163.802814
0.806667   522.229565   1511.202806   2311.740057   3189.424467
0.812917   525.479248   1569.958235   2339.580466   3205.591436
