Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.445083   885.275527   1935.832898   3430.675424   4313.271561
0.451333   816.092662   1813.363508   3283.028310   4391.606407
0.457583   724.984822   1824.779734   3296.287660   4590.533045
0.463833   970.560208   1762.179679   3991.292290   4478.603012
0.470083   1366.358675   3341.284414   4062.209064   4552.168626
0.476333   1170.031834   3535.303973   3998.064353   4527.790899
0.482583   804.409264   3083.212002   3793.511965   4471.548285
0.488833   987.480704   2653.159600   3623.567055   4423.428688
0.495083   1051.864168   2675.206335   3484.080090   4558.914621
0.501333   1156.450720   2973.650208   3416.448669   4644.340251
0.507583   1263.808499   3294.487344   4642.649762   4856.094596
0.513833   375.588678   1366.861325   3147.214231   4071.182452
0.520083   337.266495   1736.003150   3182.812044   4382.821687
0.526333   1469.880413   1825.758333   3101.790744   4550.359614
0.532583   1242.947915   1881.100244   3066.272111   4541.036053
0.538833   778.573022   1916.253664   3301.041433   4645.426060
0.545083   1464.355976   2151.911899   3159.570901   4551.435461
0.551333   1400.217262   2865.823292   4247.624776   --undefined--
0.557583   1468.645085   2783.915609   3969.590568   4961.737795
0.563833   135.258299   1623.439074   2752.198116   3950.127914
0.570083   319.896425   1957.567701   2793.404502   4075.993039
0.576333   379.311116   2157.608896   2865.200888   3989.782401
0.582583   384.931449   2158.720803   2955.728640   3931.170826
0.588833   420.071351   2134.122885   2839.468356   4006.947180
0.595083   446.584585   2104.194225   2774.375651   4304.359713
0.601333   396.279364   2092.670276   2776.280250   4359.427697
0.607583   382.218811   2058.957366   2943.554107   4380.318340
0.613833   344.624135   2056.072612   2888.012834   4422.575233
0.620083   287.097551   2061.462893   2880.155576   4426.934084
0.626333   284.458418   1982.332298   2818.937693   4463.637470
0.632583   301.284890   2002.533555   2930.428718   4355.932635
0.638833   323.000627   1998.783275   2925.937428   3887.907980
0.645083   338.258187   2011.243031   2918.110530   3626.055005
0.651333   324.470548   2033.735647   2926.119734   3803.855570
0.657583   324.890853   2047.754677   2956.059572   4073.205723
0.663833   326.758978   2037.504573   2974.026721   3942.838167
0.670083   326.527390   2015.269931   2970.402615   3788.223554
0.676333   325.886283   2023.548821   2974.919219   3813.432718
0.682583   323.612704   2059.206960   2979.806131   4295.015714
0.688833   316.268653   2077.486738   2971.612748   4209.941576
0.695083   312.983199   2047.379829   2937.719542   4293.733768
0.701333   327.250258   1977.556972   2856.811193   3295.791038
0.707583   334.161804   1925.143415   2720.403983   3346.756810
0.713833   344.452901   1855.234516   2881.432829   4257.448921
0.720083   359.371405   1898.773923   3014.530633   4251.963248
0.726333   366.280989   1992.003467   3061.859813   4245.351927
0.732583   359.633374   2021.942149   3017.199712   4275.186726
0.738833   369.093518   2038.488923   2978.662985   4253.900254
0.745083   364.758229   1977.110718   3051.680683   4242.632275
0.751333   373.898017   1962.156094   2980.987746   4245.021461
0.757583   384.884100   1982.661036   3021.434756   4263.354182
0.763833   398.544714   1993.477304   3079.374580   4272.429524
0.770083   402.689264   1676.392854   3002.073653   4222.626403
0.776333   412.664608   1657.663375   2927.434276   4214.288189
0.782583   404.169407   1795.844832   2943.573755   4184.673587
0.788833   418.560090   1818.451783   2937.039006   4165.135294
0.795083   426.755925   1486.277202   2297.763186   3364.649613
0.801333   451.793893   1297.319937   2189.748101   3315.948704
0.807583   471.665905   1398.641677   2156.214100   3302.347372
0.813833   485.437826   1543.658089   2170.472517   3296.168548
0.820083   494.646353   1601.371822   2186.586315   3315.356442
0.826333   510.318399   1623.662934   2200.271960   3337.704630
0.832583   520.279658   1661.520872   2223.541830   3358.877551
0.838833   528.032269   1695.966373   2280.713602   3362.217111
0.845083   521.665327   1711.658514   2344.220575   3394.948013
0.851333   512.167717   1732.523633   2378.091822   3428.403544
0.857583   504.401267   1751.823827   2412.540804   3420.696449
0.863833   495.550607   1766.789332   2459.056890   3387.242268
0.870083   485.207726   1793.865486   2475.689330   3408.920527
0.876333   487.106907   1808.083262   2509.934537   3442.952986
0.882583   482.774707   1820.187419   2519.207538   3513.542041
0.888833   469.147700   1832.859743   2517.114371   3567.164017
0.895083   441.772058   1831.795776   2521.695277   3581.993832
0.901333   408.717758   1829.845482   2533.038483   3600.104176
0.907583   388.608606   1811.325702   2527.389706   3588.529689
0.913833   383.980636   1755.673998   2499.111666   3591.027534
0.920083   361.136223   1728.392808   2406.134455   3609.184672
0.926333   303.040812   1714.500285   2479.093107   3636.077352
0.932583   313.595450   1809.644274   2636.133926   3720.177434
0.938833   326.421781   1792.109297   2399.263566   3521.613019
0.945083   303.778313   1750.411920   2388.117701   3682.465732
0.951333   304.799489   1707.069190   2488.014653   4029.762361
0.957583   277.462067   1768.233565   2563.212456   4289.439821
0.963833   263.421657   1778.714492   2580.361753   3647.722205
0.970083   256.349746   1668.345181   2504.350183   3559.734246
0.976333   216.239850   1702.495947   2455.191542   3543.937313
0.982583   201.715370   1778.132378   2461.336814   3506.178777
0.988833   229.487407   1709.569039   2485.236329   3518.065029
0.995083   217.671280   1602.500275   2473.289663   3489.032813
1.001333   251.579905   1693.531817   2311.703306   3445.326690
1.007583   280.975601   1752.818049   2392.623487   3424.117074
1.013833   290.057482   1736.674843   2531.448075   3717.598544
1.020083   295.717943   1835.902137   2663.446868   3769.959024
1.026333   200.610740   1852.861785   2997.640719   4146.786435
1.032583   145.617102   1896.071274   2809.394726   4289.818304
1.038833   145.685313   1907.392677   3366.100654   4501.953411
1.045083   229.655429   1760.935040   3688.749458   4479.748794
1.051333   417.666665   1730.456184   3799.397518   4436.302474
1.057583   487.065475   1928.604760   4032.272443   4415.408929
1.063833   583.914149   2012.135342   4279.028109   4426.470608
1.070083   1881.615983   2279.409055   4099.197700   4396.119825
1.076333   1815.785920   3572.716780   4313.228835   4977.346387
1.082583   1713.993405   3369.222517   4375.077118   5139.677718
1.088833   1665.644415   3391.208444   4201.520284   4989.087516
1.095083   1620.025152   3407.028334   4199.192346   4867.328555
1.101333   1690.203431   3350.796984   4070.975234   4867.230160
1.107583   269.752696   1756.533388   3385.654606   4076.395030
1.113833   293.727832   1799.175673   2846.689114   4113.991728
1.120083   317.254752   1842.811308   3003.132967   4179.584236
1.126333   352.851307   1856.415223   3202.227852   3216.130923
1.132583   341.104829   1891.989860   3192.722392   3449.823177
1.138833   331.981702   1837.754441   2706.114913   3332.955500
1.145083   335.229816   1831.484642   3128.451307   3343.309539
1.151333   329.540089   1783.691496   3131.466819   4118.531300
1.157583   313.428035   1776.411071   3226.315802   4004.819907
1.163833   276.066764   1847.158336   3464.509195   4077.195870
1.170083   270.472062   1770.546451   2811.415019   4031.605894
1.176333   265.090751   1752.828966   2875.177640   4049.532354
1.182583   268.515930   1792.148877   2929.088251   4203.741881
1.188833   258.320327   1839.522652   2899.362392   4496.143213
1.195083   237.168678   1908.937309   3487.964437   4559.880300
1.201333   244.834935   1764.076008   3385.706717   4491.546550
1.207583   261.032985   1725.506046   2456.605186   4114.209822
1.213833   250.560066   1948.108753   2093.870549   4129.530537
1.220083   240.775392   2080.777201   4003.654743   4943.734874
1.226333   226.962232   1923.575223   3441.116075   4448.464534
1.232583   203.670652   2037.061943   2957.490070   4199.755991
1.238833   2329.205496   3288.967527   4354.281537   --undefined--
1.245083   284.312733   2442.217406   2736.877128   4071.094315
1.251333   278.160011   2047.492629   2619.307254   3852.280723
1.257583   291.798112   2008.120461   2747.574692   3713.766790
1.263833   288.695069   2019.516813   2913.731668   4040.732175
1.270083   277.531910   2031.602866   2961.254781   4256.522086
1.276333   264.006265   2082.154323   2944.062297   4296.558942
1.282583   260.440706   1999.416681   2994.425663   4278.505872
1.288833   260.060950   1844.397088   3000.848373   4352.951432
1.295083   263.825606   1988.607983   3028.485239   4269.309045
1.301333   269.704820   2011.086492   3049.865568   4235.123226
1.307583   266.817262   2022.318316   3054.009069   4220.262520
1.313833   270.974115   2029.579582   3049.302224   4185.058090
1.320083   268.298886   2031.051999   3084.252430   4214.130400
1.326333   265.603464   2041.475696   3071.523136   4190.606854
1.332583   268.969562   2032.366024   3051.471237   3908.525347
1.338833   271.362034   2016.809092   3015.567934   3711.146089
1.345083   272.361293   2015.825193   3026.642383   3822.014971
1.351333   298.415372   2014.282026   3088.789977   4180.966754
1.357583   284.918389   2012.634278   3070.054292   4159.999841
1.363833   245.263977   2021.109432   3003.589198   4179.326715
1.370083   286.131228   2026.918755   3010.949283   4243.194289
1.376333   262.980790   2045.719263   2997.211958   4164.056174
1.382583   264.310024   1980.793012   3017.725611   4151.113014
1.388833   254.880802   2005.952475   3079.272441   4214.176056
1.395083   242.044322   2016.621052   3037.274001   4248.214261
1.401333   220.633974   1946.517526   3028.853495   4237.241735
1.407583   219.778734   1934.177739   3001.067559   4200.773840
1.413833   223.732285   2009.774613   3014.279427   4221.115543
1.420083   173.557845   2042.185705   3028.464599   4220.836556
1.426333   191.573452   2055.369728   3118.804076   4300.045342
1.432583   203.417403   2065.976690   3214.113235   4262.996033
1.438833   217.083999   2036.413019   3122.664348   4264.195756
1.445083   262.267119   2019.441067   3041.460437   4164.937551
1.451333   256.753176   2030.776984   2929.465217   4077.074258
1.457583   249.974998   2038.174168   3001.565675   3893.169207
1.463833   243.948691   2033.164783   3051.426663   3997.359729
1.470083   250.762438   2007.982205   3010.017233   3955.425048
1.476333   273.097780   2051.983624   3070.943520   4168.772714
1.482583   261.665535   2102.641179   3094.727106   4237.149866
1.488833   258.852081   2084.743724   3045.172888   4223.040814
1.495083   256.884525   2031.086489   2998.294631   4228.730399
1.501333   258.781104   2005.826418   2965.817561   4230.198931
1.507583   271.060943   2010.190203   2960.525085   4281.174141
1.513833   288.927520   2041.455544   2943.624251   4294.902108
1.520083   275.501634   2056.241683   2949.262947   4251.660261
1.526333   270.150807   2049.851951   2961.973123   4167.798758
1.532583   272.424001   2035.683381   2964.081054   4208.602373
1.538833   278.116654   2036.278034   2970.292225   4203.175878
1.545083   281.592119   2041.652628   2975.466179   4163.065843
1.551333   284.826341   2035.189477   2932.267536   4143.760125
1.557583   289.767142   2028.548465   2904.657009   4138.214269
1.563833   289.025228   2028.228994   2861.197142   4151.495079
