Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.575833   454.473920   2195.886865   3192.603756   3995.118008
0.582083   384.941326   2204.227203   3090.413982   4116.684666
0.588333   358.254095   2323.794226   2983.811477   4420.335641
0.594583   222.038483   2123.191652   2955.864932   4272.743571
0.600833   223.125954   2114.305256   2990.863510   4283.416352
0.607083   278.928819   2114.482499   3014.853824   4174.350930
0.613333   293.541115   2118.151559   3055.264115   4275.292170
0.619583   294.083918   2129.194290   3077.855958   4304.164931
0.625833   301.421383   2112.493353   3092.139064   4335.660203
0.632083   297.968688   2105.635160   3087.606702   4322.884248
0.638333   292.742169   2114.459617   3094.888088   4372.020679
0.644583   290.796260   2145.748756   3115.834598   4374.286341
0.650833   285.403113   2104.232697   3077.330170   4323.905372
0.657083   275.288145   2111.605447   3014.025043   4244.662520
0.663333   274.762791   2096.376570   2881.580213   3463.008123
0.669583   280.215285   2022.804193   2512.571500   3079.895353
0.675833   288.449732   1984.614745   2389.054995   3116.061598
0.682083   294.856182   1878.432505   2364.263365   3151.921342
0.688333   303.898382   1839.098880   2917.813548   4110.568800
0.694583   305.239834   1931.828294   2918.258209   4062.282491
0.700833   304.297853   1998.693400   2919.363202   4153.248587
0.707083   307.229587   1974.428193   2984.004791   4113.514867
0.713333   300.991749   1920.305058   3017.764339   4111.383974
0.719583   326.858232   1940.589033   3027.469874   4191.054863
0.725833   325.827394   1883.027493   3041.641404   4118.729355
0.732083   310.633742   1994.738180   3564.297107   4601.926688
0.738333   344.620024   1886.851408   3086.560379   3943.289786
0.744583   382.165305   1839.218535   2874.057367   4017.087346
0.750833   378.644211   1885.191967   2535.790079   4080.719042
0.757083   383.007780   2106.989156   3175.990927   4346.089284
0.763333   383.364401   1228.000206   2181.199358   3273.021157
0.769583   419.118772   1322.340731   2186.246321   3250.576413
0.775833   448.175326   1436.022431   2187.569081   3233.249130
0.782083   466.078725   1569.529360   2204.018711   3246.501338
0.788333   473.629848   1625.743679   2231.845744   3258.640400
0.794583   487.118523   1670.624117   2249.593518   3275.300303
0.800833   499.570722   1717.504634   2287.316512   3299.831466
0.807083   518.372065   1734.626702   2323.042045   3301.906162
