Time_s   F0_Hz
0.034167   --undefined--
0.049167   --undefined--
0.064167   --undefined--
0.079167   --undefined--
0.094167   --undefined--
0.109167   --undefined--
0.124167   --undefined--
0.139167   --undefined--
0.154167   --undefined--
0.169167   --undefined--
0.184167   --undefined--
0.199167   --undefined--
0.214167   --undefined--
0.229167   --undefined--
0.244167   --undefined--
0.259167   --undefined--
0.274167   --undefined--
0.289167   --undefined--
0.304167   --undefined--
0.319167   --undefined--
0.334167   --undefined--
0.349167   --undefined--
0.364167   --undefined--
0.379167   --undefined--
0.394167   --undefined--
0.409167   --undefined--
0.424167   --undefined--
0.439167   --undefined--
0.454167   --undefined--
0.469167   --undefined--
0.484167   --undefined--
0.499167   --undefined--
0.514167   --undefined--
0.529167   --undefined--
0.544167   --undefined--
0.559167   --undefined--
0.574167   --undefined--
0.589167   --undefined--
0.604167   --undefined--
0.619167   118.256708
0.634167   116.502610
0.649167   115.510129
0.664167   114.751278
0.679167   113.374611
0.694167   111.631014
0.709167   109.281483
0.724167   106.253047
0.739167   110.996272
0.754167   116.443272
0.769167   117.165294
0.784167   114.951848
0.799167   113.920331
0.814167   116.317490
0.829167   121.509139
0.844167   129.450973
0.859167   138.240198
0.874167   145.229429
0.889167   153.386889
0.904167   159.715416
0.919167   159.563350
0.934167   154.237344
0.949167   145.317640
0.964167   142.911836
0.979167   152.951926
0.994167   154.303940
1.009167   154.590877
1.024167   --undefined--
1.039167   --undefined--
1.054167   --undefined--
1.069167   --undefined--
1.084167   116.881716
1.099167   111.272101
1.114167   105.949477
1.129167   104.647411
1.144167   106.684415
1.159167   103.732466
1.174167   105.507494
1.189167   108.093845
1.204167   106.811633
1.219167   105.961928
1.234167   105.908044
1.249167   105.530297
1.264167   101.226688
1.279167   100.580423
1.294167   100.829885
1.309167   --undefined--
1.324167   --undefined--
1.339167   --undefined--
1.354167   --undefined--
1.369167   --undefined--
1.384167   --undefined--
1.399167   97.430953
1.414167   95.460098
1.429167   95.457685
1.444167   95.418978
1.459167   95.080596
1.474167   95.091837
1.489167   95.312401
1.504167   95.662160
1.519167   95.942726
1.534167   96.448556
1.549167   97.003264
1.564167   97.555733
1.579167   97.965449
1.594167   97.870576
1.609167   97.673036
1.624167   97.775078
1.639167   98.513919
1.654167   99.509482
1.669167   100.525878
1.684167   101.216272
1.699167   100.740154
1.714167   97.533671
1.729167   96.813396
1.744167   97.550103
1.759167   --undefined--
1.774167   --undefined--
1.789167   --undefined--
1.804167   --undefined--
1.819167   --undefined--
1.834167   --undefined--
1.849167   --undefined--
1.864167   --undefined--
1.879167   105.738806
1.894167   100.134286
1.909167   97.235287
1.924167   96.522114
1.939167   95.205629
1.954167   93.187374
1.969167   91.176114
1.984167   --undefined--
1.999167   --undefined--
2.014167   --undefined--
2.029167   96.990258
2.044167   95.693851
2.059167   95.979941
2.074167   96.318716
2.089167   96.615512
2.104167   97.001707
2.119167   97.193272
2.134167   97.583433
2.149167   98.276641
2.164167   98.856073
2.179167   99.751136
2.194167   99.628307
2.209167   98.448581
2.224167   97.806805
2.239167   99.093814
2.254167   98.262387
2.269167   --undefined--
2.284167   --undefined--
2.299167   110.954274
2.314167   103.306815
2.329167   97.989073
2.344167   97.128045
2.359167   96.710114
2.374167   95.712610
2.389167   94.692816
2.404167   94.817396
2.419167   --undefined--
2.434167   --undefined--
2.449167   --undefined--
2.464167   --undefined--
2.479167   --undefined--
2.494167   --undefined--
2.509167   --undefined--
2.524167   --undefined--
2.539167   --undefined--
2.554167   --undefined--
2.569167   --undefined--
2.584167   100.213636
2.599167   98.991076
2.614167   97.510712
2.629167   96.758032
2.644167   95.895729
2.659167   95.010191
2.674167   93.444230
2.689167   92.370284
2.704167   --undefined--
2.719167   --undefined--
2.734167   --undefined--
2.749167   --undefined--
2.764167   --undefined--
2.779167   --undefined--
2.794167   --undefined--
2.809167   --undefined--
2.824167   --undefined--
2.839167   --undefined--
2.854167   --undefined--
2.869167   --undefined--
2.884167   --undefined--
2.899167   --undefined--
2.914167   --undefined--
2.929167   --undefined--
2.944167   --undefined--
2.959167   --undefined--
2.974167   --undefined--
2.989167   --undefined--
3.004167   --undefined--
3.019167   --undefined--
3.034167   --undefined--
3.049167   --undefined--
3.064167   --undefined--
3.079167   --undefined--
