Time_s   F0_Hz
0.031333   --undefined--
0.046333   --undefined--
0.061333   --undefined--
0.076333   --undefined--
0.091333   --undefined--
0.106333   --undefined--
0.121333   --undefined--
0.136333   --undefined--
0.151333   --undefined--
0.166333   --undefined--
0.181333   --undefined--
0.196333   --undefined--
0.211333   --undefined--
0.226333   --undefined--
0.241333   --undefined--
0.256333   --undefined--
0.271333   --undefined--
0.286333   --undefined--
0.301333   --undefined--
0.316333   --undefined--
0.331333   --undefined--
0.346333   --undefined--
0.361333   --undefined--
0.376333   --undefined--
0.391333   --undefined--
0.406333   --undefined--
0.421333   --undefined--
0.436333   --undefined--
0.451333   --undefined--
0.466333   --undefined--
0.481333   --undefined--
0.496333   --undefined--
0.511333   --undefined--
0.526333   --undefined--
0.541333   --undefined--
0.556333   --undefined--
0.571333   --undefined--
0.586333   --undefined--
0.601333   --undefined--
0.616333   --undefined--
0.631333   --undefined--
0.646333   130.047746
0.661333   125.369958
0.676333   121.271552
0.691333   119.151489
0.706333   116.474147
0.721333   114.268117
0.736333   113.643765
0.751333   114.406025
0.766333   118.094834
0.781333   122.916455
0.796333   122.054404
0.811333   121.265011
0.826333   121.258504
0.841333   120.985534
0.856333   124.193075
0.871333   128.052495
0.886333   131.645846
0.901333   135.198812
0.916333   137.056432
0.931333   144.398280
0.946333   150.925576
0.961333   150.858801
0.976333   147.686280
0.991333   145.256175
1.006333   147.661229
1.021333   149.805684
1.036333   151.003769
1.051333   153.584964
1.066333   --undefined--
1.081333   --undefined--
1.096333   --undefined--
1.111333   --undefined--
1.126333   --undefined--
1.141333   117.667725
1.156333   112.597999
1.171333   113.548237
1.186333   110.204497
1.201333   104.549895
1.216333   97.056138
1.231333   98.094494
1.246333   110.278593
1.261333   111.238580
1.276333   107.652519
1.291333   106.312726
1.306333   105.894223
1.321333   106.914991
1.336333   108.700357
1.351333   --undefined--
1.366333   --undefined--
1.381333   --undefined--
1.396333   196.409036
1.411333   194.477646
1.426333   189.944907
1.441333   --undefined--
1.456333   --undefined--
1.471333   112.890951
1.486333   107.609575
1.501333   106.877175
1.516333   106.113385
1.531333   105.683153
1.546333   106.474027
1.561333   105.609097
1.576333   103.659801
1.591333   102.223335
1.606333   99.728656
1.621333   100.681027
1.636333   108.135620
1.651333   110.160485
1.666333   112.114036
1.681333   113.773003
1.696333   113.792024
1.711333   114.048223
1.726333   113.343027
1.741333   112.624132
1.756333   111.936577
1.771333   111.734122
1.786333   113.058660
1.801333   113.870871
1.816333   113.751289
1.831333   114.035548
1.846333   --undefined--
1.861333   --undefined--
1.876333   --undefined--
1.891333   --undefined--
1.906333   --undefined--
1.921333   --undefined--
1.936333   --undefined--
1.951333   --undefined--
1.966333   --undefined--
1.981333   --undefined--
1.996333   --undefined--
2.011333   --undefined--
2.026333   --undefined--
2.041333   --undefined--
2.056333   --undefined--
2.071333   --undefined--
2.086333   --undefined--
2.101333   --undefined--
2.116333   --undefined--
2.131333   106.062781
2.146333   101.941192
2.161333   99.529302
2.176333   98.732624
2.191333   97.091937
2.206333   96.379581
2.221333   98.087905
2.236333   113.631347
2.251333   112.723188
2.266333   111.203733
2.281333   109.210778
2.296333   108.444978
2.311333   107.446799
2.326333   106.622277
2.341333   104.594995
2.356333   103.912601
2.371333   105.214314
2.386333   106.166183
2.401333   105.225950
2.416333   --undefined--
2.431333   --undefined--
2.446333   --undefined--
2.461333   --undefined--
2.476333   --undefined--
2.491333   --undefined--
2.506333   100.730151
2.521333   99.943931
2.536333   99.235176
2.551333   98.398282
2.566333   97.884847
2.581333   96.743099
2.596333   96.621476
2.611333   97.862725
2.626333   98.314191
2.641333   --undefined--
2.656333   --undefined--
2.671333   --undefined--
2.686333   --undefined--
2.701333   --undefined--
2.716333   --undefined--
2.731333   --undefined--
2.746333   --undefined--
2.761333   112.741589
2.776333   111.036525
2.791333   107.194324
2.806333   103.832234
2.821333   102.093126
2.836333   101.373584
2.851333   101.028543
2.866333   98.449378
2.881333   97.088325
2.896333   97.904363
2.911333   98.624895
2.926333   99.377230
2.941333   --undefined--
2.956333   --undefined--
2.971333   --undefined--
2.986333   --undefined--
3.001333   --undefined--
3.016333   --undefined--
3.031333   --undefined--
3.046333   --undefined--
3.061333   --undefined--
3.076333   --undefined--
3.091333   --undefined--
3.106333   --undefined--
3.121333   --undefined--
3.136333   --undefined--
3.151333   --undefined--
3.166333   --undefined--
3.181333   --undefined--
3.196333   --undefined--
3.211333   --undefined--
3.226333   --undefined--
3.241333   --undefined--
3.256333   --undefined--
3.271333   --undefined--
3.286333   --undefined--
3.301333   --undefined--
3.316333   --undefined--
3.331333   --undefined--
3.346333   --undefined--
3.361333   --undefined--
3.376333   --undefined--
3.391333   --undefined--
3.406333   --undefined--
3.421333   --undefined--
3.436333   --undefined--
3.451333   --undefined--
3.466333   --undefined--
3.481333   --undefined--
3.496333   --undefined--
3.511333   --undefined--
3.526333   --undefined--
3.541333   --undefined--
3.556333   --undefined--
3.571333   --undefined--
3.586333   --undefined--
3.601333   --undefined--
3.616333   --undefined--
3.631333   --undefined--
3.646333   --undefined--
3.661333   --undefined--
3.676333   --undefined--
3.691333   --undefined--
3.706333   --undefined--
3.721333   --undefined--
3.736333   --undefined--
3.751333   --undefined--
3.766333   --undefined--
3.781333   --undefined--
3.796333   --undefined--
3.811333   --undefined--
3.826333   --undefined--
3.841333   --undefined--
3.856333   --undefined--
3.871333   --undefined--
