Time_s   F0_Hz
0.035833   --undefined--
0.050833   --undefined--
0.065833   --undefined--
0.080833   --undefined--
0.095833   --undefined--
0.110833   --undefined--
0.125833   --undefined--
0.140833   --undefined--
0.155833   --undefined--
0.170833   --undefined--
0.185833   --undefined--
0.200833   --undefined--
0.215833   --undefined--
0.230833   --undefined--
0.245833   --undefined--
0.260833   --undefined--
0.275833   --undefined--
0.290833   --undefined--
0.305833   --undefined--
0.320833   --undefined--
0.335833   --undefined--
0.350833   --undefined--
0.365833   --undefined--
0.380833   --undefined--
0.395833   --undefined--
0.410833   --undefined--
0.425833   --undefined--
0.440833   --undefined--
0.455833   --undefined--
0.470833   --undefined--
0.485833   --undefined--
0.500833   --undefined--
0.515833   --undefined--
0.530833   --undefined--
0.545833   --undefined--
0.560833   --undefined--
0.575833   --undefined--
0.590833   --undefined--
0.605833   115.712519
0.620833   113.806693
0.635833   111.158871
0.650833   108.770353
0.665833   107.549558
0.680833   106.146055
0.695833   104.176559
0.710833   102.549868
0.725833   102.743219
0.740833   107.310802
0.755833   115.778943
0.770833   117.468270
0.785833   118.207050
0.800833   118.010177
0.815833   119.659180
0.830833   121.259686
0.845833   121.587222
0.860833   122.455876
0.875833   122.323066
0.890833   123.840304
0.905833   126.837971
0.920833   127.965782
0.935833   127.462340
0.950833   --undefined--
0.965833   --undefined--
0.980833   --undefined--
0.995833   --undefined--
1.010833   --undefined--
1.025833   --undefined--
1.040833   --undefined--
1.055833   --undefined--
1.070833   111.838621
1.085833   108.312389
1.100833   101.124021
1.115833   99.741555
1.130833   100.150388
1.145833   98.376116
1.160833   96.932315
1.175833   100.055483
1.190833   101.519785
1.205833   100.200477
1.220833   99.554480
1.235833   99.476447
1.250833   99.302280
1.265833   98.389974
1.280833   97.594635
1.295833   97.924192
1.310833   98.852949
1.325833   98.414247
1.340833   --undefined--
1.355833   --undefined--
1.370833   --undefined--
1.385833   103.553815
1.400833   101.039875
1.415833   99.611917
1.430833   98.501806
1.445833   97.610781
1.460833   97.622270
1.475833   98.244817
1.490833   98.856601
1.505833   99.340228
1.520833   99.846831
1.535833   100.710289
1.550833   102.039457
1.565833   104.755375
1.580833   106.767102
1.595833   105.768586
1.610833   106.323337
1.625833   108.021848
1.640833   107.248998
1.655833   102.833726
1.670833   98.649110
1.685833   99.340737
1.700833   100.198758
1.715833   --undefined--
1.730833   --undefined--
1.745833   --undefined--
1.760833   --undefined--
1.775833   --undefined--
1.790833   --undefined--
1.805833   --undefined--
1.820833   95.191977
1.835833   95.259218
1.850833   95.119017
1.865833   94.326143
1.880833   92.901389
1.895833   92.040142
1.910833   94.751061
1.925833   109.229427
1.940833   105.474649
1.955833   102.389394
1.970833   101.144000
1.985833   100.260814
2.000833   99.152046
2.015833   98.575392
2.030833   98.383893
2.045833   98.004581
2.060833   97.530691
2.075833   97.108970
2.090833   96.960780
2.105833   97.920230
2.120833   98.441111
2.135833   98.117367
2.150833   98.933110
2.165833   98.425854
2.180833   98.543587
2.195833   98.773800
2.210833   100.249342
2.225833   101.518941
2.240833   100.054449
2.255833   97.286363
2.270833   96.018881
2.285833   94.985861
2.300833   94.454807
2.315833   94.435464
2.330833   95.159082
2.345833   --undefined--
2.360833   --undefined--
2.375833   --undefined--
2.390833   --undefined--
2.405833   --undefined--
2.420833   --undefined--
2.435833   --undefined--
2.450833   --undefined--
2.465833   --undefined--
2.480833   --undefined--
2.495833   99.044254
2.510833   96.443954
2.525833   95.828036
2.540833   95.477992
2.555833   94.023894
2.570833   92.205011
2.585833   89.329361
2.600833   88.133531
2.615833   --undefined--
2.630833   --undefined--
2.645833   --undefined--
2.660833   --undefined--
2.675833   --undefined--
2.690833   --undefined--
2.705833   --undefined--
2.720833   --undefined--
2.735833   --undefined--
2.750833   --undefined--
2.765833   --undefined--
2.780833   --undefined--
2.795833   --undefined--
2.810833   --undefined--
2.825833   --undefined--
2.840833   --undefined--
2.855833   --undefined--
2.870833   --undefined--
2.885833   --undefined--
2.900833   --undefined--
2.915833   --undefined--
2.930833   --undefined--
2.945833   --undefined--
2.960833   --undefined--
2.975833   --undefined--
2.990833   --undefined--
3.005833   --undefined--
3.020833   --undefined--
3.035833   --undefined--
3.050833   --undefined--
3.065833   --undefined--
3.080833   --undefined--
3.095833   --undefined--
3.110833   --undefined--
3.125833   --undefined--
3.140833   --undefined--
3.155833   --undefined--
3.170833   --undefined--
3.185833   --undefined--
3.200833   --undefined--
3.215833   --undefined--
3.230833   --undefined--
3.245833   --undefined--
3.260833   --undefined--
3.275833   --undefined--
3.290833   --undefined--
